basename,orbit,mirror,filter,hole,energy_keV,funnelling_eff,funnelling_eff_err,geom_factor_cm2,total_particles,total_particles_err,cl
output_DCC_filterOn_100keV_ss_N300k.root,45-deg,DCC,filterOn,withOpening,100,3.266667e-04,3.299293e-05,4.708164e-02,2.411750e+05,2.435837e+04,CL75
output_DCC_filterOn_250keV_ss_N300k.root,45-deg,DCC,filterOn,withOpening,250,7.700000e-04,5.064277e-05,4.708164e-02,7.989361e+05,5.254589e+04,CL75
output_DCC_filterOn_500keV_option4_N1m.root,45-deg,DCC,filterOn,withOpening,500,6.600000e-04,2.568199e-05,4.708164e-02,7.459326e+05,2.902580e+04,CL75
output_DPH_filterOff_1000keV_option4_N1m.root,45-deg,DPH,filterOff,withOpening,1000,8.900000e-04,2.981959e-05,4.708164e-02,8.834459e+05,2.959999e+04,CL75
output_DPH_filterOff_100keV_ss_N300k.root,45-deg,DPH,filterOff,withOpening,100,8.066667e-04,5.183358e-05,4.708164e-02,5.955545e+05,3.826825e+04,CL75
output_DPH_filterOff_250keV_ss_N300k.root,45-deg,DPH,filterOff,withOpening,250,9.466667e-04,5.614774e-05,4.708164e-02,9.822418e+05,5.825773e+04,CL75
output_DPH_filterOff_500keV_option4_N1m.root,45-deg,DPH,filterOff,withOpening,500,6.530000e-04,2.554552e-05,4.708164e-02,7.380211e+05,2.887157e+04,CL75
output_DPH_filterOn_1000keV_option4_N1m.root,45-deg,DPH,filterOn,withOpening,1000,9.440000e-04,3.071008e-05,4.708164e-02,9.370482e+05,3.048392e+04,CL75
output_DPH_filterOn_100keV_ss_N300k.root,45-deg,DPH,filterOn,withOpening,100,3.000000e-04,3.161803e-05,4.708164e-02,2.214872e+05,2.334330e+04,CL75
output_DPH_filterOn_250keV_ss_N300k.root,45-deg,DPH,filterOn,withOpening,250,7.133333e-04,4.874507e-05,4.708164e-02,7.401399e+05,5.057688e+04,CL75
output_DPH_filterOn_500keV_option4_N1m.root,45-deg,DPH,filterOn,withOpening,500,6.130000e-04,2.475125e-05,4.708164e-02,6.928131e+05,2.797388e+04,CL75
output_SP_filterOff_1000keV_option4_N1m.root,45-deg,SP,filterOff,withOpening,1000,5.380000e-04,2.318859e-05,5.275936e-02,5.984394e+05,2.579361e+04,CL75
output_SP_filterOff_100keV_ss_N300k.root,45-deg,SP,filterOff,withOpening,100,4.333333e-04,3.799761e-05,5.275936e-02,3.585068e+05,3.143632e+04,CL75
output_SP_filterOff_250keV_ss_N300k.root,45-deg,SP,filterOff,withOpening,250,5.400000e-04,4.241495e-05,5.275936e-02,6.278603e+05,4.931604e+04,CL75
output_SP_filterOff_500keV_option4_N1m.root,45-deg,SP,filterOff,withOpening,500,4.380000e-04,2.092387e-05,5.275936e-02,5.547249e+05,2.649998e+04,CL75
output_SP_filterOn_1000keV_option4_N1m.root,45-deg,SP,filterOn,withOpening,1000,5.370000e-04,2.316704e-05,5.275936e-02,5.973270e+05,2.576964e+04,CL75
output_SP_filterOn_100keV_ss_N300k.root,45-deg,SP,filterOn,withOpening,100,2.366667e-04,2.808384e-05,5.275936e-02,1.957999e+05,2.323442e+04,CL75
output_SP_filterOn_250keV_ss_N300k.root,45-deg,SP,filterOn,withOpening,250,4.833333e-04,4.012895e-05,5.275936e-02,5.619737e+05,4.665810e+04,CL75
output_SP_filterOn_500keV_option4_N1m.root,45-deg,SP,filterOn,withOpening,500,4.340000e-04,2.082815e-05,5.275936e-02,5.496589e+05,2.637875e+04,CL75
output_DCC_filterOff_50keV_ss_N100k.root,45-deg,DCC,filterOff,withoutOpening,50,6.300000e-04,7.934753e-05,4.708164e-02,0.000000e+00,0.000000e+00,CL75
output_DCC_filterOn_50keV_ss_N100k.root,45-deg,DCC,filterOn,withoutOpening,50,8.000000e-05,2.828314e-05,4.708164e-02,0.000000e+00,0.000000e+00,CL75
